action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,6188148,[],CHEMBL1775561,Antiviral activity against Zaire ebolavirus expressing enhanced GFP in Vero 76 cells after 48 hrs by standard Plaque assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc21.Cl,,,CHEMBL1773055,J Med Chem,2011,,CHEMBL1773160,,CHEMBL1789560,5.30,0,http://www.openphacts.org/units/Nanomolar,1420724,=,1,1,=,,IC50,nM,,5000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,5.0
,,6188151,[],CHEMBL1775561,Antiviral activity against Zaire ebolavirus expressing enhanced GFP in Vero 76 cells after 48 hrs by standard Plaque assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(NCCCN2CCCCC2)c2ccc3c(ccc4c(NCCCN5CCCCC5)cc(C)nc43)c2n1.Cl,,,CHEMBL1773055,J Med Chem,2011,,CHEMBL1773163,,CHEMBL1789352,5.30,0,http://www.openphacts.org/units/Nanomolar,1420727,=,1,1,=,,IC50,nM,,5000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,5.0
,,6188154,[],CHEMBL1775561,Antiviral activity against Zaire ebolavirus expressing enhanced GFP in Vero 76 cells after 48 hrs by standard Plaque assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(NCCCN2CCOCC2)c2ccc3c(ccc4c(NCCCN5CCOCC5)cc(C)nc43)c2n1.Cl,,,CHEMBL1773055,J Med Chem,2011,,CHEMBL1773165,,CHEMBL1789353,5.60,0,http://www.openphacts.org/units/Nanomolar,1420729,=,1,1,=,,IC50,nM,,2500.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,2.5
,,12658353,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(C(c2ccccc2)c2ccccc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323042,,CHEMBL2323042,,0,http://www.openphacts.org/units/Nanomolar,1848894,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,10.0
,,12658354,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(C(=O)c2ccccc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323041,,CHEMBL2323041,5.52,0,http://www.openphacts.org/units/Nanomolar,1848893,=,1,1,=,,IC50,nM,,3000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,3.0
,,12658355,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCC(Cc2ccccc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323040,,CHEMBL2323040,5.89,0,http://www.openphacts.org/units/Nanomolar,1848892,=,1,1,=,,IC50,nM,,1300.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,1.3
,,12658356,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323039,,CHEMBL2323039,7.70,0,http://www.openphacts.org/units/Nanomolar,1848891,=,1,1,=,,IC50,nM,,20.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,0.02
,,12658357,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(C(=O)O)cc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323038,,CHEMBL2323038,5.40,0,http://www.openphacts.org/units/Nanomolar,1848890,=,1,1,=,,IC50,nM,,4000.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,4.0
,,12658358,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccncc2)CC1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323037,,CHEMBL2323037,6.10,0,http://www.openphacts.org/units/Nanomolar,1848889,=,1,1,=,,IC50,nM,,800.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,0.8
,,12658359,[],CHEMBL2328533,Antiviral activity against Ebola virus by cell based luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)C(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,,,CHEMBL2321771,ACS Med Chem Lett,2013,,CHEMBL2323036,,CHEMBL2323036,5.48,0,http://www.openphacts.org/units/Nanomolar,1848888,=,1,1,=,,IC50,nM,,3300.0,CHEMBL4434621,Ebolavirus,Ebolavirus,186536,,,IC50,uM,UO_0000065,,3.3
