molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1773160,CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc21.Cl,intermediate,5000.0
CHEMBL1773163,Cc1cc(NCCCN2CCCCC2)c2ccc3c(ccc4c(NCCCN5CCCCC5)cc(C)nc43)c2n1.Cl,intermediate,5000.0
CHEMBL1773165,Cc1cc(NCCCN2CCOCC2)c2ccc3c(ccc4c(NCCCN5CCOCC5)cc(C)nc43)c2n1.Cl,intermediate,2500.0
CHEMBL2323042,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(C(c2ccccc2)c2ccccc2)CC1,inactive,10000.0
CHEMBL2323041,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(C(=O)c2ccccc2)CC1,intermediate,3000.0
CHEMBL2323040,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCC(Cc2ccccc2)CC1,intermediate,1300.0
CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,20.0
CHEMBL2323038,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(C(=O)O)cc2)CC1,intermediate,4000.0
CHEMBL2323037,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccncc2)CC1,active,800.0
CHEMBL2323036,CN(C)C(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,intermediate,3300.0
CHEMBL2323035,CNC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,intermediate,2100.0
CHEMBL2323034,N#Cc1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,intermediate,4400.0
CHEMBL2323251,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc([N+](=O)[O-])cc2)CC1,intermediate,1700.0
CHEMBL2323250,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2cccnc2)CC1,intermediate,2100.0
CHEMBL2323249,COC(=O)c1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,intermediate,2400.0
CHEMBL2323248,COc1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,intermediate,1900.0
CHEMBL2323247,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2cccc(Br)c2)CC1,intermediate,2400.0
CHEMBL2323246,Cc1cccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)c1,active,350.0
CHEMBL2323245,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccccc2[N+](=O)[O-])CC1,intermediate,1600.0
CHEMBL2323244,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccc3ccccc3c2)CC1,intermediate,3000.0
CHEMBL2321891,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc3ccccc23)CC1,intermediate,3400.0
CHEMBL2323060,Cc1cc(O)cc(C)c1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,intermediate,8000.0
