GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
10628,0.00,0.00,0.225,42.33707,9.516861,11921.33,TXNIP,thioredoxin interacting protein
5788,0.00,0.00,0.212,43.12052,9.1208,14783.89,PTPRC,protein tyrosine phosphatase receptor type C
6622,0.00,0.00,0.218,43.25545,9.4408,12120.84,SNCA,synuclein alpha
125050,0.00,0.00,0.378,39.04364,14.764388,156272.58,RN7SK,RNA component of 7SK nuclear ribonucleoprotein
60,0.00,0.00,0.269,38.77027,10.438777,17018.83,ACTB,actin beta
51312,0.00,0.00,0.202,44.39062,8.958493,24154.37,SLC25A37,solute carrier family 25 member 37
665,0.00,0.00,0.272,42.58504,11.582996,29485.8,BNIP3L,BCL2 interacting protein 3 like
8031,0.00,0.00,0.236,37.77009,8.901154,9390.44,NCOA4,nuclear receptor coactivator 4
3043,0.00,0.00,0.326,57.90773,18.904978,3830732.42,HBB,hemoglobin subunit beta
3045,0.00,0.00,0.333,46.87182,15.610314,261041.6,HBD,hemoglobin subunit delta
79026,0.00,0.00,0.175,42.83005,7.502703,15641.62,AHNAK,AHNAK nucleoprotein
283131,0.00,0.00,0.201,42.29258,8.489681,35056.21,NEAT1,nuclear paraspeckle assembly transcript 1
378938,0.00,0.00,0.214,55.58132,11.899675,60750.58,MALAT1,metastasis associated lung adenocarcinoma transcript 1
109136579,0.00,0.00,0.211,55.14751,11.633933,59555.42,TALAM1,"TALAM1 transcript, MALAT1 antisense RNA"
10038,0.00,0.00,0.266,39.75348,10.588937,33095.45,PARP2,poly(ADP-ribose) polymerase 2
3040,0.00,0.00,0.37,49.78507,18.416724,1408692.77,HBA2,hemoglobin subunit alpha 2
3039,0.00,0.00,0.326,54.54938,17.790409,1488331.83,HBA1,hemoglobin subunit alpha 1
7314,0.00,0.00,0.296,41.95511,12.411766,38968.01,UBB,ubiquitin B
1655,0.00,0.00,0.215,39.90485,8.564168,6705.92,DDX5,DEAD-box helicase 5
1938,0.00,0.00,0.208,39.65381,8.242062,6840.82,EEF2,eukaryotic translation elongation factor 2
4154,3.59E-304,2.37E-307,0.201,37.47482,7.527959,5412.04,MBNL1,muscleblind like splicing regulator 1
1915,6.12E-303,4.23E-306,0.274,37.3979,10.245944,43228.15,EEF1A1,eukaryotic translation elongation factor 1 alpha 1
55544,1.56E-302,1.13E-305,0.213,37.37173,7.973848,4302.98,RBM38,RNA binding motif protein 38
10135,3.88E-298,2.92E-301,0.28,37.09896,10.39937,16211.92,NAMPT,nicotinamide phosphoribosyltransferase
